article_text,source,headline,bias
"UP Violence: Ashish Mishra is junior Union Home Minister Ajay Mishra's sonLakhimpur Kheri, UP: Uttar Pradesh Police are attempting to ""recreate"" the horrific events that took place at Lakhimpur Kheri earlier this month, when four peacefully protesting farmers and a journalist were mowed down by a convoy of three vehicles, one of which belongs to Union Minister Ajay Mishra.The police brought Mr Mishra's son, Ashish, who is accused of the farmers' murder to the scene, along with his friend and co-accused Ankit Das, and are using cop cars to recreate the events of that day.Ashish Mishra has denied he was at the crime scene when the murders took place; he has claimed he was in his paternal village (around two km away) and stayed there all day.Visuals filmed by journalists at the scene showed a police jeep driving at high speed and crushing dummies (meant to represent the farmers who were run over) placed on the road.Another clip showed the crime scene secured with police tape; this, though, has raised questions about why the police did not secure the scene immediately after the incident and allowed everyone, including  and the media, unfiltered access for at least 48 hours.Other visuals - a decidedly surreal one - showed Ashish waving to crowds from inside the police jeep.Murder accused Ashish Mishra waving to crowds from inside a police jeepAshish Mishra was arrested last week - after spending nearly seven days as a free man despite being named in the FIR (first information report). Yesterday he was denied bail by a local court.Police remand ends today but they are likely to seek further custody so they can interrogate him.Ashish's arrest followed 12 hours of questioning by members of the police team formed to investigate the Lakhimpur incident, and that questioning came after an intervention by the Supreme Court, which asked UP Police if it was treating Ashish Mishra differently because of his high-profile father.The police had earlier denied that Ashish Mishra's obvious family connections had influenced them.A special police team is trying to recreate the events of October 2, when four farmers were run downYesterday a delegation of Congress leaders, led by Rahul Gandhi, met President Ram Nath Kovind, and urged him to speak to the government on this issue.The Congress and other opposition parties have demanded that Ajay Mishra - who, as the junior Home Minister, oversees national policing issues - step down in order to ensure a fair probe.""The families believe that till his minister father is in the post there can be no justice. This is also the demand of the people of the UP and all-right thinking people of the country... The president said he will consult the government,"" Priyanka Gandhi Vadra, who was part of the delegation, said.Rahul Gandhi demanded that two sitting Supreme Court judges should probe the Lakhimpur incident - currently being investigated by a SIT from UP Police. The Supreme Court, meanwhile, earlier ruled out a CBI investigation of the deaths, citing ""people involved"" - seen as a reference to Ajay Mishra.PromotedListen to the latest songs, only on JioSaavn.comBoth Ashish Mishra and his father have denied all charges.Mr Mishra told NDTV the car belonged to his family but neither he nor his son were in it at the time. He has resisted all calls to resign; he met his boss, Amit Shah, this month, after which government sources ruled out any possibility of his stepping down.",ndtv,UP Farmers' Killing: Minister's Son Taken To Site To Recreate Crime Scene,L
"According to PTI, the video tweeted by Varun Gandhi was of Atal Bihari Vajpayee in 1980New Delhi: BJP MP Varun Gandhi - dumped from his party's National Executive this month after calling  for justice for the families of farmers killed in UP's Lakhimpur Kheri, and speaking out in support of other farmers protesting the centre's new laws - is in no mood to back down.This morning Mr Gandhi tweeted an undated video of (a very young-looking) Atal Bihari Vajpayee, in which the late former Prime Minister warns the government against intimidating farmers.According to news agency PTI the video is from 1980 and Mr Vajpayee is cautioning the then Indira Gandhi government against repressing farmers.""... warn the government against intimidating farmers. Don't try to scare us... Farmers are not going to be scared. We don't want to use farmers' movement for politics..."" Mr Vajpayee says in the video.""We support their genuine demands, and if the government tries to scare us, or misuse the laws, or disregard the peaceful movement of farmers, we will also become part of the movement,"" he adds.""Wise words from a big-hearted leader,"" is Mr Gandhi's comment on the shared video.Wise words from a big-hearted leader… pic.twitter.com/xlRtznjFAx— Varun Gandhi (@varungandhi80) October 14, 2021Earlier this month Varun Gandhi was dropped from the BJP's 80-member National Executive, as were his mother Maneka Gandhi and former Union Minister Birender Singh; all three have been seen as being sympathetic towards the farmers' protests against the centre's laws.Mr Gandhi is also the only BJP member, so far, to speak up on the Lakhimpur Kheri issue, in which Ashish Mishra, the son of junior Home Minister Ajay Mishra, is accused of murdering four farmers.The Pilibhit MP has not only demanded ""accountability"" but also wrote to Uttar Pradesh Chief Minister Yogi Adityanath to demand a CBI probe and Rs 1 crore compensation for the dead farmers' families.This week he also targeted Ajay Mishra over his comment that Khalistanis had engineered the Lakhimpur events; without naming him he slammed it as an attempt to give communal colour.Last week he tweeted a video of the black SUV ploughing through a group of peaceful protesters from behind, tagging it ""murder"" and saying that the video was enough to ""shake the soul"".The video is crystal clear. Protestors cannot be silenced through murder. There has to be accountability for the innocent blood of farmers that has been spilled and justice must be delivered before a message of arrogance and cruelty enters the minds of every farmer. ???????????????? pic.twitter.com/Z6NLCfuujK— Varun Gandhi (@varungandhi80) October 7, 2021The farmers' months-long protest against the centre's new farm laws has formed the backdrop for a series of hostile clashes between the ruling BJP and opposition parties, including a fierce stand-off during the monsoon session of Parliament that included physical confrontations in the final week.PromotedListen to the latest songs, only on JioSaavn.comThe protests have also included violent clashes between farmers and police in various states, most notably BJP-ruled Haryana. The violence has left dozens injured on both sides and drawn scathing criticism from the opposition, which has accused the centre of using brutal force against farmers.With input from PTI",ndtv,"Sidelined, BJP's Varun Gandhi Doubles Down With Vajpayee Video On Farmers",L
"Eight people, including four farmers, were ran over by.SUV owner by the minister. (File photo)Ashish Mishra, son of Union Minister of State for Home Ajay Mishra, was denied bail by a court on Wednesday in the Lakhimpur Kheri violence case.Senior prosecution officer (SPO) SP Yadav told PTI that Chief Judicial Magistrate Chinta Ram rejected the bail applications of Ashish Mishra and his alleged accomplice Ashish Pandey.Ashish Mishra, who was arrested on October 9 by the special investigation team after 12 hours of questioning, had been sent to three days in police custody from Tuesday.The court also remanded Shekhar Bharti, arrested on Tuesday, in police custody for three days.Police have so far arrested four people in connection with the case -- Ashish Mishra, Luvkush, Ashish Pandey and Bharti.One Ankit Das, who is said to be a close friend of Ashish Mishra, appeared before the SIT at the crime branch office in Lakhimpur earlier in the day.The investigators had summoned Das for questioning in connection with the October 3 violence that had left eight people, including four farmers, dead.Das is the nephew of former minister Akhilesh Das and the black SUV which allegedly knocked down the four farmers is said to be owned by him.PromotedListen to the latest songs, only on JioSaavn.comAt around 11 AM, Das along with a team of lawyers arrived at the crime branch office in the reserved police lines area, the police said.On Tuesday, Das and one other identified as Latif had moved an application for surrender before the chief judicial magistrate.",ndtv,"Union Minister's Son Denied Bail In UP Farmers Killing Case, 1 More Sent To Police Custody",L
"Lakhimpur violence, in which 4 farmers were killed, is ""absolutely condemnable,"" Nirmala Sitharaman said.Boston: The Lakhimpur Kheri violence, in which four farmers were killed, is ""absolutely condemnable,"" Finance Minister Nirmala Sitharaman has said, emphasising that there are issues of such nature happening in other parts of India equally which should be raised ""when they happen and not when it suits others"" because there is a BJP government in Uttar Pradesh.Ms Sitharaman, who is on an official visit to the US, was responding to a question during a conversation at Harvard Kennedy School on Tuesday about the killing of four farmers in Lakhimpur Kheri and the arrest of Ashish Mishra, son of Union Minister of State for Home Ajay Mishra.She was asked why there is no word on this from the prime minister, senior ministers and why there is a ""defensive reaction"" when somebody asks questions about such things.""No, absolutely not... It's nice of you to have picked up that one incident which is absolutely condemnable, every one of us say that. Equally there are instances happening elsewhere, is my concern.""""India has issues of such nature happening in very many different parts of the country equally. I would like you, and many others, including Dr Amartya Sen, who all know India, to raise it at every time when it happens, not just raise it when it suits us because it's a state where BJP is in power, one of my cabinet colleague's son is probably in trouble, and also assume that it's actually them who did it and not anybody else. Due course of justice will also have a complete inquiry process to establish it,"" she said.""And it's not being defensive about my party or my Prime Minister. It's being defensive about India. I will talk for India, I will talk for justice for the poor. I will not be mocked at. And if it is mocking, I will be defensive to stand up and say 'Sorry, let's talk on facts''. That's my answer for you,"" she said.Ashish Mishra was named in an FIR following allegations that he was in one of the vehicles that mowed down four farmers protesting over UP Deputy Chief Minister Keshav Prasad Maurya's visit on October 3.To a question on the farmers' protests, Ms Sitharaman said that the three acts which the government brought in were discussed by the various parliamentary committees over a decade.She said all the three acts have been discussed variously by the State governments, by the Center after the BJP came into power in 2014.""This has been in the making for a decade now. Every stakeholder has been consulted,"" she said.""When the farm laws were brought in the Lok Sabha, there was an elaborate discussion and the agriculture minister gave his reply as well. It was only when it came to the Rajya Sabha, there was a lot of noise and disturbance,"" she said.Thousands of farmers from Punjab, Haryana and several other states have been protesting on various borders of Delhi since November 26 last year, seeking repeal of three farm laws enacted in September.Dubbing these laws as ""anti-farmer"", these farmers claim that the newly enacted legislations would pave the way for the dismantling of the minimum support price system, leaving them at the ""mercy"" of big corporations.Ms Sitharaman said the protesters belong to one state and some parts of other states - ""Punjab, Haryana and some parts of western Uttar Pradesh.""She said the government has been saying that it is willing to talk with the protesters and has been engaging with them.The government has asked pointedly what is that one aspect in any one of the three laws which have been passed to which the protesters object, she said. ""We are willing to talk about it, tell us that one particular aspect in any one of the three laws. Till date, we have not had even one particular aspect which is being questioned. And therefore, the protesters are not sure on what score they are protesting, what is it that they are objecting.""Then there's this issue about the minimum support price to be given to farmers,"" she said, adding that the MSP are announced well in time and the farmers can decide whether they want to grow a crop or not and they can otherwise choose to grow something else.She said once the farmers choose to grow any of these, for which a minimum support price is announced and procurements are done, through direct benefit transfer using technology, money is deposited as a lump sum into their accounts.""The highest amount of procurement, the largest ever payment per farmer under the minimum support price which is declared has happened in the last seven years after Prime Minister (Narendra) Modi has come. Highest ever.""""The number of farmers, the total quantum of money, total quantum of grain procured in each one of them - the highest as has happened season after season in the last seven years,"" she said.Highlighting that there are recorded conversations ""which you can see of farmers even from Punjab, even from Haryana"", she said farmers have got the entire amount into their account.""This is verifiable, not a claim which I''m making. You can go and check it out. Highest amount and the entire amount is given into the account directly the day after procurement is done. No staggering, no delaying,"" she said.PromotedListen to the latest songs, only on JioSaavn.com""So we have not been told what it is that they're protesting against as yet and the minister is willing to talk even today."" (Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",ndtv,"Farmers' Killing ""Condemnable"", ""Not Being Defensive"": Nirmala Sitharaman",L
"Four farmers were killed in Lakhimpur Kheri incidentNew Delhi: Sack the Union Minister whose son is accused of mowing down protesting farmers in Uttar Pradesh, a Rahul Gandhi-led Congress delegation urged President Ram Nath Kovind, who, in turn, has said he will speak to the government over the issue.  Union Minister of State for Home Ajay Mishra's son, Ashish Mishra, was arrested over the weekend for allegedly running over protesting farmers in Uttar Pradesh's Lakhimpur district on October 3. Eight people, including four farmers, were killed in the incident.The Congress is pressing for dismissal of the Union Minister for a fair probe in the matter, which they say is also the demand of the farmer families who lost their loved ones.""The families believe that till his minister father is in the post there can  be no justice. This is also the demand of the people of the UP and the all right thinking people of the country...The president said he will consult the government,"" Priyanka Gandhi Vadra, who was in UP yesterday attending the final prayer meeting for the killed farmers, told presspersons after meeting the President.Rahul Gandhi demanded that two sitting Supreme Court judges should probe the Lakhimpur incident and those who committed murder should be punished.""Told President Kovind that MoS Home should resign to ensure impartial probe in Lakhimpur violence as his son is an accused,"" Rahul Gandhi said.The delegation of senior Congress leaders also presented a memorandum of facts about the Lakhimpur Kheri incident to the President.PromotedListen to the latest songs, only on JioSaavn.com""The incident has scarred the soul of India. This deliberate act of murder, in broad daylight followed by the audacious reactions of the State and Central governments, has completely eroded the people''s faith in those tasked with bringing these perpetrators to justice,"" the party said in its memorandum to the President .Other than Rahul Gandhi and Priyanka Gandhi Vadra, other members of the delegation were  AK Antony, Mallikarjun Kharge, KC Venugopal, Ghulam Nabi Azad, and Adhir Ranjan Chowdhury.",ndtv,"Dismiss Minister, President Said He'll Talk To Government: Congress",L
"Priyanka Gandhi Vadra and other Congress leaders sat in front of the stageLakhimpur Kheri: Farmers from Uttar Pradesh and neighbouring states today offered ""antim ardas"" - the final prayers in the Sikh tradition - for the protesters killed in the recent violence, with their leaders vowing to intensify the agitation against the centre's new farm laws.Congress general secretary Priyanka Gandhi Vadra and Rashtriya Lok Dal leader Jayant Chaudhary were part of the large gathering near Tikonia village, close to the spot where eight people were killed on October 3.A local journalist was also among the dead. His family too sat on the dais, along with members of the families of the four farmers, displaying their framed photographs.Bharatiya Kisan Union leader Rakesh Tikait repeated the schedule of protests planned by the farmers' unions over the coming days, as they demanded the repeal of the laws and the resignation as well as the arrest of Union Minister Ajay Mishra.The junior home minister's son Ashish Mishra, alleged to be in one of the cars that knocked down the protesters, and three others have been arrested by a Special Investigation team.Two others have approached the court, seeking to surrender.The Samyukta Kisan Morcha said farmers from Uttar Pradesh, Punjab, Haryana, Uttarakhand, Himachal Pradesh, Rajasthan and other states attended the ""ardas"".Ms Gandhi Vadra bowed to the Guru Granth Sahib and offered flowers before the stage which had a poster with the pictures of the dead farmers.Some hoardings indirectly targeting her were put up on the road to Lakhimpur, purportedly by a member of the state's minorities commission. ""Nahin chahiye farzi sahanabhuti (We don't want fake sympathy)"", they said.No political leader sat on the dais, according to the farmers' decision announced earlier.Ms Gandhi Vadra along with Congress leaders Deepender Singh Hooda, Ajay Kumar Lallu and others reached the venue around 1 pm and sat before the stage.RLD leader Jayant Chaudhary was stopped by officials at the Bareilly airport for about 45 minutes before being allowed to proceed towards Lakhimpur.A Congress spokesperson claimed there were reports of party leaders accompanying Priyanka Gandhi being stopped at the Sitapur toll point, leading to heated exchanges.District Samajwadi Party president Rampal Singh Yadav was among the party leaders who attended the prayer meeting.Uttar Pradesh police and paramilitary forces were deployed around the venue, with senior officers including an additional director general camping in Tikonia.The ceremony followed the ""akhand path"" which began Sunday at the Kaudiyala Ghat gurdwara in the village.Prayers were offered for farmers Daljeet Singh and Gurvinder Singh of Bahraich district, and Nachhatar Singh and Lavpreet Singh of Lakhimpur Kheri district. The brother and daughter of journalist Raman Kashyap were also part of the ceremony.The farmers' unions have given a call for burning the effigies of Prime Minister Narendra Modi and Union Home Minister Amit Shah on Dussehra, a six-hour ""rail roko"" on October 18 and a ""Kisan Mahapanchayat"" in the state capital on October 26.Before this, the farmers' ashes will be taken to different states and all 75 Uttar Pradesh districts as part of a ""Shaheed Kisan Yatra"".",ndtv,Priyanka Gandhi Vadra At Farmers' Tribute To Those Killed In Lakhimpur,L
"The police so far have arrested four people in the case (File)Lakhimpur Kheri: One more person has been arrested in connection with the Lakhimpur Kheri violence that killed eight protesters, including four farmers. The man was produced before a court which sent him to 14-day judicial custody. Meanwhile, two others moved applications for surrender at the court.Senior prosecution lawyer SP Yadav said they have sought 14-day police custody of Shekhar Bharti and the hearing will take place tomorrow. He was sent to 14-day judicial custody, Mr Yadav said.With Bharti's arrest, the police so far have arrested four people.Earlier, Union minister Ajay Mishra's son Ashish Mishra and two other accused Luvkush and Ashish Pandey were arrested in the case.According to a report, Shekhar was driving a black Fortuner that was behind the car that mowed down four farmers. However, the police did not confirm anything about Shekhar Bharti.In another development, two people - Ankit Das and Latif - moved an application for surrender at the court of the chief judicial magistrate.Ankit Das is said to be a friend of Ashish Pandey and is the nephew of former minister Akhilesh Das. The Fortuner is said to be owned by him. Nothing is know about Latif.When asked who they are, SP Yadav said the prosecution has sought a report from the police station regarding their status in connection with the FIR.Eight people, including four farmers, were killed in the violence on October 3. The farmers were allegedly knocked down by a vehicle of BJP workers, following which infuriated farmers allegedly attacked some people in the vehicles.The others who were killed included two BJP workers and their driver. A local journalist had also died in the incident.PromotedListen to the latest songs, only on JioSaavn.comFarmers claimed that Union Minister Ajay Mishra's son Ashish Mishra was in one of the vehicles, an allegation denied by the accused and his father.Ashish Mishra was arrested after 12 hours of questioning late on Saturday night.",ndtv,One More Arrest In Case Of Farmers Run Over By Minister's Car In UP,L
"Lakhimpur-Kheri Violence: A Rahul Gandhi-led Congress delegation will meet President Ram Nath Kovind.New Delhi: A delegation of Congress leaders, including former party president Rahul Gandhi, will meet President Ram Nath Kovind tomorrow and present a memorandum of facts on the Lakhimpur Kheri violence, party sources said.The seven-member delegation will comprise Leader of Opposition in the Rajya Sabha Mallikarjun Kharge, senior party leaders AK Antony and Ghulam Nabi Azad, Congress leader in the Lok Sabha Adhir Ranjan Chowdhury, party general secretary Priyanka Gandhi Vadra and KC Venugopal.Sources told news agency Press Trust of India that the delegation will meet the President Ram Nath Kovind on Wednesday at 11:30 am. The party had written to him seeking time in this regard.The Congress has been demanding the immediate dismissal of Union Minister of State for Home Ajay Mishra whose son Ashish has been named in the FIR and is accused of running over farmers in UP's Lakhimpur Kheri on October 3, and strict action against the accused in the killing of farmers.Ashish Mishra was arrested on Saturday by the Uttar Pradesh Police in connection with the violence, in which eight people, including four farmers, were killedTerming the running over of farmers as a ""shocking incident of broad day massacre"", Mr Venugopal had said it has shaken the conscience of the entire nation.He said the Congress seek to present a detailed memorandum of facts on the Lakhimpur incident.PromotedListen to the latest songs, only on JioSaavn.comHe said that despite all round protests and intervention of the Supreme Court, no decisive action has been taken either against the guilty or against the Union Minister. (Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",ndtv,Congress Leaders To Meet President Ram Nath Kovind Tomorrow Over Lakhimpur Violence: Report,L
"Congress leader Priyanka Gandhi Vadra reached Lakhimpur Kheri on Tuesday to participate in the ""antim ardas (final rites)"" prayers of the protesting farmers who were mowed down in the Uttar Pradesh district earlier this month.Union Minister Ajay Mishra's son, Ashish Mishra, accused of running over farmers in Uttar Pradesh's Lakhimpur Kheri, was arrested on Saturday after being questioned for over 12 hours in Lakhimpur Kheri, and was subsequently sent to police custody for three days on Monday. The police said he had been giving ""evasive answers"" and not cooperating. He had skipped the summons yesterday due to health reasons, according to his father.His arrest came five days after he was named in a murder case. The charges against him would usually merit an immediate arrest and questions have been raised about whether he was afforded VIP treatment because of his father.Eight people, including four farmers, died in the UP district on October 3 after a car ran over a group of demonstrators protesting against the visit by junior Home Minister Ajay Mishra and UP's Deputy Chief Minister Keshav Prasad Maurya. Though the Union Minister admits the SUV that ran over farmers belongs to him, he maintains his son was not in it.The farmer said that the incident was a ""pre-planned conspiracy"". They demanded that Union Minister Ajay Mishra should also be removed from the government as he started this conspiracy and is also protecting the culprits in the case.Here are the Live Updates on the Lakhimpur Kheri Violence:Oct 12, 2021 17:13 (IST)Lakhimpur Violence: Ashish Mishra Interrogated At UP Crime Branch Office'The Uttar Pradesh Police today took Union Minister Ajay Mishra's son Ashish to the Crime Branch office in Lakhimpur for interrogation in the Lakhimpur Kheri violence case, a day after a court sent him to three-day police custody, an official said.Chief Judicial Magistrate Chintaram on Monday had granted three-day police remand, with the condition that Ashish Mishra would not be harassed and his lawyer would remain present during interrogation.He was arrested on Saturday night in connection with the October 3 Lakhimpur Kheri violence in which eight people, including four farmers, were killed.Oct 12, 2021 17:12 (IST)Heavy police presence at the Lucknow-Lakhimpur Highway as farmers hold a prayer meet for protesting farmers who died in #LakhimpurKheriViolence.NDTV's Alok Pandey reports pic.twitter.com/cYLgUBFxsr- NDTV (@ndtv) October 12, 2021Oct 12, 2021 15:09 (IST)The Congress delegation to meet the President tomorrow will comprise seven members, including Rahul Gandhi and Priyanka Gandhi VadraA delegation of Congress leaders, including former party president Rahul Gandhi, will meet President Ram Nath Kovind tomorrow and present a memorandum of facts on the Lakhimpur Kheri violence, party sources said.The seven-member delegation will comprise Leader of Opposition in the Rajya Sabha Mallikarjun Kharge, senior party leaders AK Antony and Ghulam Nabi Azad, Congress leader in the Lok Sabha Adhir Ranjan Chowdhury, party general secretary Priyanka Gandhi Vadra and KC Venugopal.Sources told news agency Press Trust of India that the delegation will meet the President Ram Nath Kovind tomorrow at 11:30 am.Oct 12, 2021 14:30 (IST)""Today the farmer needs all of us. We have to stand with them, with their families"": Congressलखीमपुर खीरी नरसंहार के शहीद किसानों की अंतिम अरदास में श्रीमती @priyankagandhiआज किसान को हम सबकी जरूरत है।हमें उनके साथ, उनके परिवारों के साथ खड़े होना होगा। pic.twitter.com/5OwnNRfrW7- Congress (@INCIndia) October 12, 2021Oct 12, 2021 14:28 (IST)Ashish Mishra's friend files surrender application in the Court of Judicial MagistrateLakhimpur violence case | Ankit Das, who is reportedly Ashish Mishra's friend, files surrender application in the CJM court; court to ask for a report from the concerned police station.- ANI UP (@ANINewsUP) October 12, 2021Oct 12, 2021 13:55 (IST)Lakhimpur Kheri Violence: Union Minister's Son Ashish Mishra Interrogated At UP Crime Branch OfficeThe Uttar Pradesh Police today took Union Minister Ajay Mishra's son Ashish to the Crime Branch office in Lakhimpur for interrogation in the Lakhimpur Kheri violence case, a day after a court sent him to three-day police custody, an official said.Oct 12, 2021 13:15 (IST)Priyanka Gandhi Vadra reaches Lakhimpur Kheri to pay last respects to farmers killed last weekPriyanka Gandhi Vadra arrives for the antim ardas (final prayers) in Lakhimpur Kheri to honour the farmers killed in the UP violence that claimed eight lives.Oct 12, 2021 12:35 (IST)Congress accused of ""fake sympathy"" in relation to the Lakhimpur Kheri violence#LakhimpurKheriViolence | Posters come up overnight accusing the #Congress of shedding 'crocodile tears' pic.twitter.com/9yO7dHxtoJ- NDTV (@ndtv) October 12, 2021Oct 12, 2021 12:22 (IST)Thousands expected to attend today's 'antim ardas' programme in #LakhimpurKheri's Tikunia. NDTV's Alok Pandey reports pic.twitter.com/mg8WmkV6qo- NDTV (@ndtv) October 12, 2021Oct 12, 2021 11:58 (IST)Bharatiya Kisan Union spokesperson Rakesh Tikait attends farmers' antim ardasNational spokesperson of the Bharatiya Kisan Union Rakesh Tikait is present at the antim ardas being held in Bareilly in honour of the farmers killed in UP.Oct 12, 2021 11:38 (IST)Rahul Gandhi-led Congress delegation to meet President tomorrow on UP farmers' killingThe Congress delegation, led by Rahul Gandhi, plans to meet President Ram Nath Kovind tomorrow in relation to the UP farmers' killing that took place in the Lakhimpur Kheri district.Oct 12, 2021 11:20 (IST)Antim ardas attendees observe a moment of silenceAttendees of the antim ardas observed a minute of silence to honour the farmers who were killed in the UP violence.Oct 12, 2021 10:56 (IST)Visuals from the antim ardas for the farmers killed in UP's Lakhimpur KheriPeople paid respects to the farmers killed in the violence in UP's Lakhimpur Kheri at their antim ardas (final rites).Oct 12, 2021 10:27 (IST)Union Minister Ajay Mishra's son Ashish brought to Reserve Police Lines for three-day police custodyOctober 3rd Lakhimpur Kheri violence | MoS Ajay Mishra Teni's son Ashish Mishra brought to Reserve Police Lines. His three-day Police remand begins today. pic.twitter.com/YuZOA5fz2V- ANI UP (@ANINewsUP) October 12, 2021Oct 12, 2021 10:09 (IST)Chhattisgarh Chief Minister Bhupesh Baghel said Yogi Government Will Not Retain Power In Uttar PradeshChhattisgarh Chief Minister Bhupesh Baghel, returning from Lakhimpur Kheri, said, ""There is anti-incumbency against the BJP government in UP. From farmers, youth, Scheduled communities to traders, everyone is upset with the CM. The Yogi government will not retain power in the state.""Mr Baghel, along with Congress leaders Rahul Gandhi and Priyanka Gandhi Vadra, had recently met families of farmers who died in Lakhimpur Kheri on October 3.Oct 12, 2021 09:48 (IST)Rashtriya Lok Dal Leader Jayant Singh briefly held at Bareilly Airport before being allowed to proceedOn my way now. All the passengers on the Delhi - Bareilly flight were also not allowed to exit the terminal while I was being restrained!- Jayant Singh (@jayantrld) October 12, 2021Oct 12, 2021 09:46 (IST)Rashtriya Lok Dal leader Jayant Singh stopped at Bareilly Airport while heading to Bareilly for 'antim ardas' of killed Lakhimpur Kheri farmersलखीमपुर किसानों की अंतिम अरदास में जाते समय राष्ट्रीय लोकदल के राष्ट्रीय अध्यक्ष चौधरी जयंत सिंह जी को बरेली जिला प्रशासन ने बरेली एयरपोर्ट पर जबरदस्ती रोक लिया है। क्या अब देश में किसानों के दुःख में शामिल होना भी अपराध है?#ChaudharyJayantSingh#Lakhimpur- Rashtriya Lok Dal (@RLDparty) October 12, 2021Oct 12, 2021 09:42 (IST)Priyanka Gandhi Vadra To Take Part In Final Prayers For UP Farmers TodayCongress leader Priyanka Gandhi Vadra will again head to Lakhimpur Kheri today to participate in the ""antim ardas (final rites)"" prayers of the protesting farmers who were mowed down in the Uttar Pradesh district earlier this month. Heavy barricading and police checks were visible on the Lucknow-Sitapur-Lakhimpur highway.""Rahul Gandhi Go Back, Priyanka Gandhi Go Back"" banners were also sighted along the highway. While some of the banners mentioned who had put them up, others appeared to have vague details about this aspect. All banners took digs at the Congress, saying 'people' don't want ""fake sympathy"".",ndtv,"Lakhimpur Kheri violence: Eight people, including four farmers, were killed in the incident.",L
"Farmer leader Rakesh Tikait arrived in Tikunia last nightLucknow: Congress leader Priyanka Gandhi Vadra arrived in Lakhimpur Kheri today and joined the mourners to participate in the ""antim ardas (final rites)"" prayers of the protesting farmers who were mowed down in the Uttar Pradesh district earlier this month.The Congress leader, flanked by party leader Deepender Hooda and UP Congress chief Ajay Kumar Lallu, sat among the mourners with her head covered with a dupatta.लखीमपुर खीरी नरसंहार के शहीद किसानों की अंतिम अरदास में श्रीमती @priyankagandhiआज किसान को हम सबकी जरूरत है।हमें उनके साथ, उनके परिवारों के साथ खड़े होना होगा। pic.twitter.com/5OwnNRfrW7— Congress (@INCIndia) October 12, 2021Ahead of her visit, heavy barricading and police checks were visible this morning on the Lucknow-Sitapur-Lakhimpur highway. ""Rahul Gandhi Go Back, Priyanka Gandhi Go Back"" banners were also sighted along the highway. While some of the banners mentioned who had put them up, others appeared to have vague details about this aspect. All banners took digs at the Congress, saying 'people' don't want ""fake sympathy"".The banners proclaiming farmers don't want ""fake sympathy""Preparations for the final prayers were made at a field, away from the spot where the violence took place in Tikonia village of Lakhimpur Kehri in poll-bound Uttar Pradesh.Ashish Mishra - son of Union Minister of State for home, Ajay Mishra - now arrested, is accused of running his SUV over slogan-shouting farmers in the district on October 3. Eight people, including four farmers, were killed in the incident.Farmers and leaders of various farm unions from various states and districts of the state  participated in the programme.Farmer leader and national spokesperson of Bhartiya Kisan Union (BKU) Rakesh Tikait arrived in Tikunia last night for the programme.लखीमपुर खीरी के तिकुनिया में शहीद किसानों के अंतिम अरदास स्थल पर पहुंच चुका हूं । pic.twitter.com/9HXpqv3a3h— Rakesh Tikait (@RakeshTikaitBKU) October 11, 2021On whether politicians will be part of the prayers, BKU-Tikait district vice president Balkar Singh said, ""No political leader will be allowed to share the stage where only Samyukta Kisan Morcha (SKM) leaders will be present.""PromotedListen to the latest songs, only on JioSaavn.comThe Samyukt Kisan Morcha (SKM) is the umbrella body of farmer unions spearheading the ongoing protests against the centre's farm laws.The visit comes a week after her arrest while she was on her way to meet the families of the farmers killed in violence. Dramatic videos showed her confrontation with UP cops, who, she claims, held her without a warrant or legal order.",ndtv,"Priyanka Gandhi Vadra will participate in the ""antim ardas"" prayers",L
