,headline,article_text,source,bias,cleaned_text,compound,positive,neutral,negative
0,"""Nobody Needs To Go To Pak To Study Medicine"": Amit Shah To J&K Youths","Home Minister Amit Shah said he would rather talk to Kashmiri youth than hold talks with Pak. (File)Srinagar: Union Home Minister Amit Shah has hit out at National Conference president Farooq Abdullah for seeking talks with Pakistan, saying the government would rather talk to the youth of Jammu and Kashmir for making it the most developed in the country.The home minister, who is on a visit to Jammu and Kashmir -- his first since the abrogation of Article 370 in August 2019 -- remotely inaugurated several development projects and laid the foundation stone of some.""I read in newspapers that Farooq Abdullah has suggested that the government should talk to Pakistan. He has a right to his opinion but we would rather talk to the Kashmiri youth,"" Mr Shah said while addressing a function at the SKICC.""The repealing of Article 370 had only one intention -- to put Kashmir, Jammu and newly created Ladakh (Union Territory) on the path of development. You will see the fruits of our efforts by 2024,"" he said.The article, which granted special status to the erstwhile state of Jammu and Kashmir, was abrogated in August 2019 and the state was bifurcated into union territories of Jammu and Kashmir and Ladakh.Mr Shah inaugurated a 500-bed hospital at Bemina, completed at a cost of Rs 115 crore, laid the foundation stone for the Handwara Medical College, a Rs 46-crore steel girder bridge over the Ferozepur Nallah in Baramulla district and road projects worth Rs 4,000 crore, among others.The home minister, who is on his Jammu and Kashmir visit's third day, said that those who advocate talks with Islamabad and separatists should be asked what has Pakistan done in Pakistan-occupied Kashmir (PoK).""Compare the development between this side and PoK. Do they have electricity, roads, healthcare and toilets. There is nothing (on the other side). You (Kashmiris) have the same rights as any other Indian,"" he said.Without naming the Congress, the National Conference and the Peoples' Democratic Party, he said while only three medical colleges were set up by the ""three families which have ruled Jammu and Kashmir"", Prime Minister Narendra Modi has ensured seven new medical colleges and these are coming up.""Earlier, 500 youths could become doctors... now 2,000 youths can become doctors from these new medical colleges. Nobody will need to go to Pakistan to study medicine,"" he said.Mr Shah said the schemes and the plans of the Modi government will ensure that Jammu and Kashmir will be the most developed province of the country.He sought the cooperation of the people to realise this dream. ""It is only the youth of Jammu and Kashmir who can work towards achieving this goal,"" he said.Asserting that the government is aiming to wipe out terrorism from Jammu and Kashmir and put an end to civilian killings, Shah said nobody would be allowed to disrupt peace and development in the Union Territory, which has a special place in Prime Minister Modi's heart.Defending the curbs on internet services and imposition of curfew in the aftermath of abrogation of Article 370, he said that ""some people would have misled the masses. Who would have been killed? The Kashmiri youth. We know how heavy the coffin of a young son is for an old man"".He said that 40,000 people have been killed in Kashmir in violence and it should stop now.""This many people do not die even in wars. We have to come back and take Kashmir to new heights of development,"" he said.The minister said Rs 12,000 crore worth of investment has already come to the Union Territory and the government aims at a total of Rs 51,000 crore by the end of 2022 to provide five lakh jobs to the local youth.Mr Shah said ""three families"" are answerable to the people for their failure to develop Jammu and Kashmir over the past seven decades.""The new phase of development under the leadership of Modi has started in J&K but attempts are being made by inimical elements to create hurdles. I have come here to assure you that nobody will be able to create a hurdle and disrupt peace and development,"" Amit Shah said.He said a new phase of development has started and this cannot be stopped by anyone.Listing various steps taken by the government since the formation of the BJP government at the Centre, Mr Shah said five lakh jobs are being created in Jammu and Kashmir, while 20,000 people have been provided government jobs in the past two years.""The three families used to say who will come and invest in J&K.... in just six months after announcing a new industrial policy, we have got an investment of Rs 7,000 crore in Jammu and Rs 6,000 crore in Kashmir and are looking forward to an investment of Rs 50,000 crore by the end of 2022,"" the minister said.Targeting the ""three families"", he said they were asking what the government is going to give to Jammu and Kashmir.PromotedListen to the latest songs, only on JioSaavn.com""We have a long list of what we have given to J&K and the people know it very well but the people are demanding an answer from them as to what they have given to J&K despite ruling the erstwhile state for the past seven decades. Have you thought of anyone else other than your own family members?"" Amit Shah asked.(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",ndtv,L,,,,,
1,"""Under Congress' Tenure, J&K Was In Hands Of Stone Pelters"": BJP Leader","BJP's Tarun Chugh also slammed Congress over its comments on India's T20 defeat to Pakistan. (File)New Delhi: Attacking the Congress, Bharatiya Janata Party (BJP) general secretary Tarun Chugh on Monday said that during the tenure of the party, Jammu and Kashmir was in the hands of stone pelters and internal security was under threat.Speaking to ANI, Mr Chugh said, ""Ghulam Nabi Azad ji is a very senior leader. I want to remind him that what was the law and order situation there during his tenure, that is the tenure of Congress. Jammu and Kashmir was in the hands of the stone pelters. The internal security was under threat. But today, after the removal of Article 370, there has been peace. A new development era has begun under the leadership of Prime Minister Narendra Modi ji.""Mr Chugh's remarks came a day after senior Congress leader and former Jammu and Kashmir Chief Minister Ghulam Nabi Azad on Sunday claimed that the erstwhile state was better off when governed by chief ministers before being turned into a union territory.The former Jammu and Kashmir chief minister while speaking to ANI had said, ""We were told that scenario in J&K will change after the abrogation of Article 370. Growth, hospitals, unemployment will be taken care of. But that has not happened at all. As a matter of fact, we were far better when it was being ruled by the various chief ministers.""The BJP leader further slammed the Congress over its comments on India's defeat in the T20 match against Pakistan.""The comment made by Congress on the defeat of the Indian cricket team is very unfortunate. These are the same people who questioned the Indian Forces operations in Balakot and Uri. People are watching their activities,"" said Mr Chugh.Congress national media coordinator Radhika Khera's tweet mocking the Indian Cricket team for its loss against Pakistan at the T20 World Cup yesterday has sparked controversy.PromotedListen to the latest songs, only on JioSaavn.comMs Khera in her tweet interpreted the defeat of team India as a defeat for ''Bhakts''.""Bhakts! How's the taste? You have managed to humiliate yourselves,"" the Congress national media coordinator tweeted in Hindi. ",ndtv,L,,,,,
2,"Explosions, Fresh Firing In J&K's Poonch As Anti-Terror Ops Enter Day 15","Poonch Operation: No terrorist has been killed so far in the anti-terror operationSrinagar: Explosions and heavy firing was reported from Mendhar forests of Poonch in Jammu and Kashmir as Army's massive search operation to track down hiding terrorists entered its 15th day today.This is one of the longest and toughest operations that security forces have engaged in J&K in last 18 years. Nine soldiers, including two officers, have been killed in encounter where terrorists are believed to be well entrenched in a dense forest area.Yesterday, two policemen and an army soldier were injured after they came under firing by terrorists, police said.According to police, they had taken an arrested terrorist Zia Mustafa to the encounter site for ""identification of a terrorist hideout"" when they came under fire.Zia, who was shifted from Kot Bhalwal Central Jail Jammu to Mendhar on police remand, was also injured but he couldn't be evacuated due to heavy firing, police said.Later in the evening, police recovered the body of Zia Mustafa, who spent his last 18 years in a jail.It's unclear how a former terrorist (resident of PoK) who was in jail for 18 years was in know of terrorist hideout in Poonch forests.A group of heavily armed terrorists are believed to be well entrenched in these forests for last three months.Despite massive offensive by the army for last two weeks no terrorist has been killed so far.PromotedListen to the latest songs, only on JioSaavn.comHome Minister Amit Shah, who is on a three-day visit to the Union Territory, has vowed to wipe out terrorism from the region. He said the news from Kashmir has changed from terrorism to development in last two years after the centre scrapped J&K's special status under Article 370 of the Constitution.",ndtv,L,,,,,
3,"J&K Should Be Given Full Statehood, Polls Should Be Held Soon: Congress's Adhir Ranjan Chowdhury","Adhir Ranjan Chowdhury called out Union Home Minister Amit Shah over abrogation of Article 370(FILE)New Delhi: Congress leader Adhir Ranjan Chowdhury on Saturday demanded that the political system must be restored in Jammu and Kashmir and called for the restoration of Jammu and Kashmir's statehood so that Assembly elections can be held as soon as possible.""A political system must be restored in Jammu and Kashmir and elections must be held as soon as possible,"" the Congress leader told ANI.He further called out Union Home Minister Amit Shah over the abrogation of Article 370 and said, ""What do you have to say Amit Shah ji? You removed Articles 370 and 35(A) and promised that Kashmir will change. However, it did not happen and now Kashmir is in a much worse state, the statehood should be restored, which is very important, "" he said.His statements come after several incidents of killings of civilians by the terrorists have taken place in Jammu and Kashmir.Meanwhile, Mr Shah is on a three-day visit to the Union territory, the first time since the abrogation of Article 370 in August 2019.""In the last two weeks, many have been killed,"" he said.Mr Chowdhury added, ""Amit Shah, who is in Kashmir, will try to instill trust amongst people and will also try to give them hope. But in the common public, there is no hope amongst the people there as wherever they are going, there is curfew.""The Congress leader further claimed that there is an internet shutdown in the union territory.""Amit Shah is visiting the Union Territory because now he feels that it is getting out of hands,"" he said.In a veiled attack at Omar Abdullah, Mehbooba Mufti and the Congress, the Union Minister while addressing an event in Jammu said, ""What did these three families did for Jammu and Kashmir in last 70 years? A panchayat has been formed in every village. Now 'Dadagiri' of these three families will not work.""""Some people are raising questions about security. Between 2004 and 2014, 2,081 people lost their lives -- 208 people were killed every year. From 2014 to September 2021, 239 people lost their lives. But we are not satisfied. We want to create an atmosphere where no one loses life to terrorism,"" Mr Shah added.PromotedListen to the latest songs, only on JioSaavn.com(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",ndtv,L,,,,,
4,"""Strange"": Farooq Abdullah On Amit Shah's J&K Statehood Comment","Jammu: National Conference chief Farooq Abdullah on Sunday expressed surprise over Union Home Minister Amit Shah's statement that Jammu and Kashmir's statehood would be restored after assembly elections.He said ""urges and aspirations of people have to be satiated for lasting peace"" in the Union territory.Mr Abdullah expressed surprise over the logic being advanced by the central leadership that the statehood will be restored after completion of the delimitation of constituencies and holding of elections.""It is strange,"" he said and recalled the all-party meeting with Prime Minister Narendra Modi a few months ago in which he took up these issues.""Modi had at that point of time asserted that the gap between New Delhi and J-K would have to be bridged by winning over the hearts~CHECK~ Hearts cannot be won by undermining the status of Jammu and Kashmir, which was bifurcated and then downgraded,"" the NC leader said while addressing a public meeting at Mendhar in Poonch district.Defending the BJP-led NDA government's decision to revoke Jammu and Kashmir's special status, Mr Shah had on Saturday said August 5, 2019 was written in golden letters in the history of Kashmir.He had reiterated that elections would be held in J-K after the delimitation exercise to be followed by restoration of statehood.""Elections will happen. (Politicians from Kashmir want that the) Delimitation be stopped. Why? Because it hurts their politics. Now, such things will not stop in Kashmir.""The youth of Kashmir will get opportunities, so a right delimitation will be done, which will be followed by elections and then the status of the statehood will be restored. I have said this in the country''s Parliament and this is the roadmap,"" Shah had said.Abdullah further said it must have happened for the first time that a state is transformed and downgraded as a Union territory.""The urges and aspirations of the people have to be satiated for lasting peace,"" he underlined.Pitching for India-Pakistan dialogue, the NC president said peace in the region will remain elusive unless a conducive atmosphere is made for talks between the two neighboring countries.He also decried attempts of dividing the society for political gains and said this is not good for the unity of the country and integration of people.""The nation cannot afford to get fragmented into bits and pieces on the basis of religion. Elections were not to be fought on religion, as these provide an opportunity to put in place responsive governments which serve the people in terms of development and economic emancipation,"" he said.The former chief minister expressed grave concern over loss of life, and damage to standing crops and orchards due to heavy downpour, hailstorm and stormy winds across Jammu and Kashmir.Mr Abdullah, who is on a four-day visit to Jammu Province, also sought an exhaustive assessment by expert panels on the damage caused, saying preliminary relief in terms of financial assistance should be provided to the affected till the assessment is completed.PromotedListen to the latest songs, only on JioSaavn.comHe also sought immediate release of compensation to the family of those killed.(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",ndtv,L,,,,,
5,PM Modi's Personal Efforts Led To Revocation Of Article 370: Amit Shah,"""(PM) Modi fought the virus in best possible way which led to minimum loss of life,"" Amit Shah saidJammu: Union Home Minister Amit Shah Sunday said the ""discriminatory"" Article 370, which gave special status to Jammu and Kashmir, was scrapped because of personal efforts of Prime Minister Narendra Modi to fulfil the dream of Jana Sangh founder Syama Prasad Mookerjee.In his first public rally in J&K after the August 2019 revocation of its special status, Mr Shah said PM Modi restored the grassroots democracy and started a new phase of development in J&K where lakhs of people faced injustice under the garb of Article 370.""After a long gap, I have come to meet my brothers and sisters in Jammu. I was a bit tense because of the inclement weather and was not sure of meeting you. But by the blessings of the Mata Vaishno Devi, the sun came out and we came together,"" the home minister said at a public rally here.Heavy rains on Saturday had cast a shadow over Mr Shah's scheduled public meeting. However, an improvement in the weather allowed the rally to go through and it was attended by thousands of people who raised high pitch pro-BJP slogans.""Today is the birth anniversary of Pandit Prem Nath Dogra, a leader from J&K who worked for the total integration of the state with India along with Mookerjee by raising the slogan of ""ek nishan, ek vidhan and ek-pradhan"","" the home minister said.""On August 5, 2019, the Modi-led government took a historic decision and revoked the discriminatory article 370 paving the way for the development of lakhs of people of J&K who have faced injustice over the years,"" he said.""It was our dream, the dream of Mookerjee and Dogra and we are happy that this dream was fulfilled in our lifetime and it was only possible because of Modi,"" Mr Shah said.He said the credit for setting up grassroots level democracy in J&K for the first time in 70 years goes to the BJP which conducted a successful panchayat, block and district development council polls along with urban local body elections.""Anyone can become a minister and even the chief minister of Jammu and Kashmir. The pahadis were being used as a vote bank but not given due representation. Now even their representative stands a chance to be the chief minister,"" he said.He said that with the revocation of the controversial article, the people who have suffered immensely and faced injustice have been given their due rights.""Now the Sikhs, Mahajans, Khatris and others have got the right to buy and sell land. West Pakistani refugees, Gorkhas, Valmikis got the citizenship rights and various other communities including Gujjars and Pahadis who were deprived of reservation rights and benefits of forests act got the benefits guaranteed by the constitution,"" he said, adding the women also got their rights back with the abrogation of the Article 370.Various central laws were implemented in Jammu and Kashmir as the focus of the BJP government is to ensure development and prosperity of every citizen of the union Territory, he said. ""Efforts are on to ensure gas connection to every household along with electricity and water tap connections.""He said PM Modi sanctioned Rs 35,000 crore for the completion of various hydroelectric projects, which shows his priority and the love for the people of J&K.Mr Shah referred to the opening of medical colleges, setting up of nursing training institutions and AIIMS and said 500 students used to complete their MBBS degrees earlier but now 2,000 students are pursuing medical courses in J&K with the sanctioning of seven new colleges.Referring to the inauguration of the new campus of IIT-Jammu, the home minister said he was surprised to witness such a beautiful campus. He lauded the efforts of the Union Education Minister Dharmendra Pradhan who was also present there along with Union minister Jitendra Singh and Lt Governor Manoj Sinha.Mr Shah said he talked to the directors of IIT, IIM and AIIMS Jammu and asked them to set up a satellite campus for training of local youths so that more of them get admission in these institutions.He said he talked to the 35,000 youths who got jobs, education and skill upgradation under various centrally sponsored schemes and expressed hope that their active involvement would take J&K to new heights.The home minister also talked about various achievements under rail and road projects and said the people of Jammu used to take their children to Delhi to enjoy a metro ride but ""they do not need to go there anymore as we are bringing Metro to Jammu and Kashmir within next two years"".He talked about the Delhi-Katra expressway, sanctioning of Rs 700 crore for a new airport and said the government is also planning to set up helipads in all district headquarters to promote religious tourism.Mr Shah also praised the Prime Minister for the ""successful campaign"" against the coronavirus and said people were apprehensive how India will tackle the situation after the outbreak of the pandemic in view of weak health infrastructure.PromotedListen to the latest songs, only on JioSaavn.com""(PM) Modi fought the virus in the best possible way which led to the minimum loss of life,"" he said.Mr Shah said Jammu and Kashmir is the only place in the entire country where all the people are covered by Ayushman Bharat PM-Jay Sehat scheme.",ndtv,L,,,,,
6,"Mehbooba Mufti Alleges Centre Uses ""Repression"" To Deal With J&K","Mehbooba Mufti alleged that ""repression"" is the only method of the Centre to deal with J&K situation.New Delhi: People's Democratic Party (PDP) President Mehbooba Mufti on Sunday alleged that ""repression"" is the only method of the Centre to deal with the Jammu and Kashmir situation.""Even after turning Kashmir into an open-air prison, Bipin Rawat's statement comes as no surprise because repression is GOIs only method to deal with the situation in J&K. It also contradicts their official narrative that all is well here,"" Ms Mufti said in a tweet reacting to Chief of Defence Staff General Bipin Rawat's statement over warning of further curbs in Kashmir.General Bipin Rawat had on Saturday said that ""overflow"" of the situation in Afghanistan can happen in Jammu and Kashmir and ""we have to prepare for it"".PromotedListen to the latest songs, only on JioSaavn.com""What is happening in Afghanistan, we know its overflow can happen in Jammu and Kashmir, We have to prepare for it, seal our borders, monitoring has become very important. We have to keep an eye on who's coming from outside, checking should be done,"" CDS Gen Rawat said on the sidelines of an event in Guwahati.Talking about internal security, he said that every citizen should be educated about it. ""Nobody will come to our defence, we have to defend ourselves, defend our people, and defend our property. Internal security is very much, a concern for us and in order to defend, I think we must actually educate our people about internal security,"" General Rawat said.",ndtv,L,,,,,
7,Amit Shah Inaugurates New Campus Of IIT Jammu,,ndtv,L,,,,,
8,Time For Sidelining People Of Jammu Has Come To An End: Amit Shah,"Jammu: The time for sidelining the people of Jammu has come to an end and now both Kashmir and Jammu will be developed together, Home Minister Amit Shah told a public rally here on Sunday.Mr Shah is on a three-day visit to Jammu and Kashmir, his first after the Centre revoked the erstwhile state's special status and bifurcated it into union territories on August 5, 2019.Addressing the rally in Bhagwati Nagar area, the home minister said no one will now be able to create any hurdle in the development of Jammu and Kashmir.He said Rs 12,000 crore worth of investment has already come to the union territory and the government aims at a total of Rs 51,000 crore by the end of 2022.If the youth join the development of Jammu and Kashmir, terrorists will fail in their sinister design, he asserted.The home minister said the government is aiming that no civilian gets killed in violence and terrorism is wiped out from Jammu and Kashmir.Mr Shah arrived at the well-attended rally amid thunderous applause and sloganeering by people.PromotedListen to the latest songs, only on JioSaavn.comPolice and paramilitary personnel were deployed in strength in and around the venue.(This story has not been edited by NDTV staff and is auto-generated from a syndicated feed.)",ndtv,L,,,,,
9,"Apple Seller Killed In J&K's Shopian, Cops Say Caught In Crossfire","Shahid Ajaz was shot at near a security forces' camp.Shopian: A civilian was killed this morning in the Zainpora village of Shopian district in Jammu and Kashmir today. There are multiple versions by the police and security forces over the circumstances that led to the killing of Shahid Ajaz, a local apple seller. He was shot at near a security forces' camp.  Pictures of Mr Ajaz's body lying near his vehicle show the young man rested against the wheel of a vehicle with his arms inside his ""pheran"" - a form of cloak worn by locals. The police said that they were investigating the case and initial reports suggest that Ajaz, who appears to be in his 20s, was killed in a crossfire.  ""Around 10:30 hrs unidentified terrorists attacked a Naka party of 178 Bn, CRPF at Babapora, Shopian. CRPF retaliated the fire and during cross-firing, one unidentified person got killed. Further details are being ascertained,"" the Shopian district police tweeted.Around 1030 hrs unidentified terrorists attacked a Naka party of 178 Bn, CRPF at Babapora, Shopian. CRPF retaliated the fire and during cross firing one unidentified person got killed. Further details are being ascertained.@JmuKmrPolice@KashmirPolice@DigSkr— DISTRICT POLICE SHOPIAN (@ShopianPolice) October 24, 2021Initially, the Central Reserve Police Force (CRPF) had suggested that they opened fire after there was an attempt of snatching weapons. Other reports suggest that the CRPF opened fire on suspicion.  Locals say there was some altercation between the apple seller and CRPF personnel when he was stopped at a camp of the security forces. The CRPF opened fire and the young man was killed on the spot. This is the second such civilian killing this month near a picket of security forces in South Kashmir. Two weeks ago, Parvez Ahmad was killed in Anantnag after CRPF personnel opened fire on a vehicle he was travelling in. According to the police, the CRPF had fired in ""self-defence"". The incidents of targeted killings by terrorists have also become a major security challenge in Kashmir. 11 civilians including migrant labourers have been killed this month. PromotedListen to the latest songs, only on JioSaavn.comUnion Home Minister Amit Shah is currently on a three-day visit to Jammu and Kashmir. During a security review meeting yesterday, he reportedly reprimanded top officials of the security forces for the recent spike in terrorist attacks. Publicly, the Home Minister said that after the reading down of section 370 two years ago, news from Kashmir has changed from terrorism and stone pelting to development.  ",ndtv,L,,,,,
